"duration_sec","start_time","end_time","start_station_id","start_station_name","start_station_latitude","start_station_longitude","end_station_id","end_station_name","end_station_latitude","end_station_longitude","bike_id","user_type","member_birth_year","member_gender"
679,"2018-03-27 13:55:37.2220","2018-03-27 14:06:56.4930",180,"Telegraph Ave at 23rd St",37.8126783,-122.2687726,215,"34th St at Telegraph Ave",37.8225475,-122.2663179,1371,"Subscriber",1994,"Female"
676,"2018-03-27 13:55:18.0350","2018-03-27 14:06:34.8140",180,"Telegraph Ave at 23rd St",37.8126783,-122.2687726,215,"34th St at Telegraph Ave",37.8225475,-122.2663179,3208,"Subscriber",1995,"Male"
1226,"2018-03-27 13:45:50.5890","2018-03-27 14:06:16.6500",130,"22nd St Caltrain Station",37.75736899005735,-122.3920565843582,133,"Valencia St at 22nd St",37.7552126,-122.4209752,2618,"Subscriber",1980,"Female"
652,"2018-03-27 13:55:03.1450","2018-03-27 14:05:55.7320",66,"3rd St at Townsend St",37.77874161153677,-122.39274082710836,15,"San Francisco Ferry Building (Harry Bridges Plaza)",37.795392,-122.394203,2415,"Subscriber",1961,"Male"
267,"2018-03-27 14:01:21.0360","2018-03-27 14:05:48.9030",56,"Koshland Park",37.77341396997343,-122.42731690406801,72,"Page St at Scott St",37.772406,-122.4356498,1840,"Subscriber",1985,"Male"
987,"2018-03-27 13:49:10.8470","2018-03-27 14:05:38.7110",243,"Bancroft Way at College Ave",37.8693603,-122.2543374,206,"College Ave at Bryant Ave",37.8381269,-122.2512714,2130,"Subscriber",1984,"Male"
359,"2018-03-27 13:58:45.1710","2018-03-27 14:04:44.3680",256,"Hearst Ave at Euclid Ave",37.875111692864444,-122.26055324077606,238,"MLK Jr Way at University Ave",37.8717192,-122.2730677,76,"Subscriber",1988,"Female"
350,"2018-03-27 13:58:19.1400","2018-03-27 14:04:09.8120",52,"McAllister St at Baker St",37.7774157,-122.4418376,75,"Market St at Franklin St",37.7737932060887,-122.42123901844025,2393,"Subscriber",1996,"Male"
585,"2018-03-27 13:54:13.3000","2018-03-27 14:03:58.8490",308,"San Pedro Square",37.336802,-121.8940901,317,"San Salvador St at 9th St",37.333955,-121.877349,2227,"Subscriber",1990,"Male"
902,"2018-03-27 13:48:18.3900","2018-03-27 14:03:20.5870",75,"Market St at Franklin St",37.7737932060887,-122.42123901844025,17,"Embarcadero BART Station (Beale St at Market St)",37.792251,-122.397086,684,"Subscriber",1967,"Male"
2977,"2018-03-27 13:13:39.3910","2018-03-27 14:03:16.6210",74,"Laguna St at Hayes St",37.776434819204745,-122.42624402046204,8,"The Embarcadero at Vallejo St",37.799953,-122.398525,3101,"Customer",1962,"Female"
381,"2018-03-27 13:56:48.5420","2018-03-27 14:03:10.1060",3,"Powell St BART Station (Market St at 4th St)",37.78637526861584,-122.40490436553954,13,"Commercial St at Montgomery St",37.794231,-122.402923,1659,"Subscriber",1982,"Male"
395,"2018-03-27 13:56:10.5190","2018-03-27 14:02:46.0820",11,"Davis St at Jackson St",37.79728,-122.398436,19,"Post St at Kearny St",37.788975,-122.403452,2626,"Subscriber",1968,"Male"
654,"2018-03-27 13:51:28.9490","2018-03-27 14:02:23.7700",305,"Ryland Park",37.342725,-121.895617,318,"San Carlos St at Market St",37.330698,-121.888979,1824,"Subscriber",1990,"Male"
266,"2018-03-27 13:57:02.2110","2018-03-27 14:01:29.0740",342,"Colin P Kelly Jr St at Townsend St (Temporary Site)",37.781382819628725,-122.3898410797119,37,"2nd St at Folsom St",37.78499972833808,-122.39593561749642,3666,"Subscriber",1984,"Female"
274,"2018-03-27 13:56:53.4090","2018-03-27 14:01:27.4160",342,"Colin P Kelly Jr St at Townsend St (Temporary Site)",37.781382819628725,-122.3898410797119,37,"2nd St at Folsom St",37.78499972833808,-122.39593561749642,3005,"Subscriber",1991,"Male"
4816,"2018-03-27 12:40:08.3200","2018-03-27 14:00:24.6020",81,"Berry St at 4th St",37.77588,-122.39317,13,"Commercial St at Montgomery St",37.794231,-122.402923,2919,"Customer","",""
445,"2018-03-27 13:52:57.9450","2018-03-27 14:00:23.1200",17,"Embarcadero BART Station (Beale St at Market St)",37.792251,-122.397086,9,"Broadway at Battery St",37.79857210846256,-122.40086898207666,3399,"Subscriber",1968,"Male"
